CODE,title,description,url,t_rex
AAD 105,Contemporary African Issues,"An examination of post-colonial African issues, including the colonial legacy/neocolonialism; conflict and human rights; development, poverty and the debt problem; healthcare and infrastructure; globalization, democracy and multiparty politics; and, how these relate to the world at large. Not open to students who have completed HST 267 or AFA 266",https://csi-undergraduate.catalog.cuny.edu/courses/1222962,https://explorer.cuny.edu/receiving-course/122296/2
AAD 122,Black Dance Workshop,"Based on traditions of the peoples of Africa and the Caribbean, this course develops the technical language of Black dance, emphasizing the cultural interaction of native tradition and western influence; the retelling of legends and tales through dance rhythms and symbolism.",https://csi-undergraduate.catalog.cuny.edu/courses/0629252,https://explorer.cuny.edu/receiving-course/062925/2
AAD 160,African American History: 1619 to the Present,"From the forced migration of the first Africans in the 17th century to the contemporary struggles for equality; emphasis on such topics as slavery; abolition, Reconstruction, the origins of Jim Crow, urban migrations, the struggle for civil rights, nonviolence, and the new militancy. (Social Science)",https://csi-undergraduate.catalog.cuny.edu/courses/0651312,https://explorer.cuny.edu/receiving-course/065131/2
AAD 167,The Black Experience,"Drawing on the social sciences-i.e. anthropology, history, political science, and sociology-the course examines the black experience in Colonial  America and the United States. (Social Science) Not open to students who have completed AFA 267.",https://csi-undergraduate.catalog.cuny.edu/courses/1208941,https://explorer.cuny.edu/receiving-course/120894/1
AAD 202,African American Drama,"A study of the emergence of Black theater in the United States, including the Harlem Renaissance, the radical theater of the 1960s and 1970s, and the work of contemporary Black playwrights and directors.",https://csi-undergraduate.catalog.cuny.edu/courses/0630002,https://explorer.cuny.edu/receiving-course/063000/2
AAD 203,Workshop in Black Theater,"A workshop expressly designed to explore experimental improvisational techniques and methods by utilizing a wide range of movements, sources, and materials. The workshop is concerned with the development of individual awareness and creativity through the active and personal discovery of movement and is open to all students interested in the potentialities of ethnic dance for attaining freedom of movement.",https://csi-undergraduate.catalog.cuny.edu/courses/0613291,https://explorer.cuny.edu/receiving-course/061329/1
AAD 204,Ethnomusicology of African Americans,"History of African American music with emphasis on its relation to religion and culture. Examination and analysis of the musical styles of spirituals, gospel hymns, blues, and jazz in their cultural setting.",https://csi-undergraduate.catalog.cuny.edu/courses/0613301,https://explorer.cuny.edu/receiving-course/061330/1
AAD 205,African American Musical Theater,"A study of the musical theater of African Americans from its early beginnings in African culture to genius manifested in the 19th century, its influence on early vaudeville, its unique contribution to American musical theater, and the present-day popularity of its style. Whenever possible, current productions will be attended and studied in detail.",https://csi-undergraduate.catalog.cuny.edu/courses/0630012,https://explorer.cuny.edu/receiving-course/063001/2
AAD 211,American Culture in Black and White,"Mutual perceptions of Blacks and Whites in 19th- and 20th-century America, how these perceptions were born, and how they have changed.",https://csi-undergraduate.catalog.cuny.edu/courses/0613321,https://explorer.cuny.edu/receiving-course/061332/1
AAD 216,Geography of Africa,"Provides an introduction to the physical and human geography of Africa. After a focus on climatic and geomorphological features, biogeography, and distribution of natural resources, the course will cover human geographic features including cultural landscapes, historical geographies, demography, industrialization, urbanization and globalization. For geography majors, this is designated as a regional course.",https://csi-undergraduate.catalog.cuny.edu/courses/1306021,https://explorer.cuny.edu/receiving-course/130602/1
AAD 221,African American Literature,"A study of literature by African American writers. Texts studied may represent a variety of thematic concerns, literary genres and/or historical time periods. (literature)",https://csi-undergraduate.catalog.cuny.edu/courses/0641742,https://explorer.cuny.edu/receiving-course/064174/2
AAD 223,Introduction to African Diaspora Literature,"A study of literature by African, Caribbean, African American, and/or other black writers. Texts examined focus on a variety of themes or issues and represent a range of literary genres and historical periods.",https://csi-undergraduate.catalog.cuny.edu/courses/0641762,https://explorer.cuny.edu/receiving-course/064176/2
AAD 224,Black Art Movement,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613351,https://explorer.cuny.edu/receiving-course/061335/1
AAD 225,Literature of Social Protest,"A study of literature created to protest injustice and oppression, primarily against people of African, Asian, Caribbean, Indigenous American, Latin American and/or Middle Eastern descent. Texts examined may represent a variety of literary genres as well as political, social, historical or geographical contexts. (literature)",https://csi-undergraduate.catalog.cuny.edu/courses/1368112,https://explorer.cuny.edu/receiving-course/136811/2
AAD 235,Policing and Mass Incarceration,"Provides a critical perspective of historical and current fighting-crime strategies such as one-strike, zero tolerance and the war on drugs, and their intended and unintended consequences for historically marginalized populations. The course will deal with legal/institutional trends in technologies of policing, the militarization of urban America and activist responses to current ?crisis? of police violence against minority groups in the US and beyond.",https://csi-undergraduate.catalog.cuny.edu/courses/1359734,https://explorer.cuny.edu/receiving-course/135973/4
AAD 240,The African Diaspora: Interdisciplinary Perspectives,"This course is a conceptual and thematic exploration of the African diaspora in the Caribbean, Brazil and Western Europe. It proposes an excavation of the African heritage in the Americas, and a study of the aesthetic, cultural and political legacy forged by people who embrace shared historical trajectories. It will adopt an interdisciplinary approach to analyze literary traditions and socio-cultural issues in the selected areas. Emphasis will be placed on political, economic and social-cultural issues.",https://csi-undergraduate.catalog.cuny.edu/courses/1452541,https://explorer.cuny.edu/receiving-course/145254/1
AAD 247,Peoples and Cultures of Africa,"A descriptive survey of the peoples and cultures of the African continent. Emphasis is on those features and/or qualities of the African pattern of life that are common to the African people as a whole. For History majors and minors, this is designated as a world history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652112,https://explorer.cuny.edu/receiving-course/065211/2
AAD 253,African Politics,"An examination of the colonial and post-colonial problems of Africa, and the developmental process in general. Other topics to be discussed include the sociopolitical and historical-philosophical appeal of communism to Africa; ideology, strategy, and the communist model of development; and the idea of revolution as an agent of rapid transformation versus the Euro-American model of evolutionary change.",https://csi-undergraduate.catalog.cuny.edu/courses/0675452,https://explorer.cuny.edu/receiving-course/067545/2
AAD 260,History of Africa,"Nineteenth-century African history, the story of European imperialism, and the emergence of modern, independent Africa and its problems. For History majors and minors, this is designated as a world history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0651552,https://explorer.cuny.edu/receiving-course/065155/2
AAD 262,African American History: 1619-1865,"A study of the African American experience in the Western hemisphere. Emphasis on the slave trade, slave life, slave revolts, and the struggle for freedom. For History majors and minors, this is designated as a United States history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652072,https://explorer.cuny.edu/receiving-course/065207/2
AAD 263,African American History: 1865 to the Present,"The continuing role of African Americans in the building of their own nation. Emphasis on freedom movements as shown in literature, in civil rights movements, in nationalist and other political organizations. For History majors and minors, this is designated as a United States history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652082,https://explorer.cuny.edu/receiving-course/065208/2
AAD 264,The African Diaspora,"A survey of the historical connections of the African diaspora from pre-transatlantic slave trade to post-colonial movements.  This course examines the political and socio-economic institutions and interactions between Africans before and during the transatlantic slave trade, the reasons why Africans were enslaved, the inland and middle passages, the impact of the trade on African societies, African communities in the Diaspora, the end of the trade and the beginning of European colonial rule in Africa, as well as the legacies of both the transatlantic slave trade and colonialism in post-colonial Africa.  For History majors and minors, this is designated as a world history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652092,https://explorer.cuny.edu/receiving-course/065209/2
AAD 265,History of the Caribbean,"Pre-colonial and colonial history of the Caribbean; an examination of the policies of the metropolitan powers, and the emergence of anti-colonialist movements. For History majors and minors, this is designated as a world history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652102,https://explorer.cuny.edu/receiving-course/065210/2
AAD 266,Contemporary African Issues,"An examination of post-colonial African issues, including the colonial legacy/neocolonialism; conflict and human rights; development, poverty and the debt problems; healthcare and infrastructure; globalization; democracy, and multiparty politics; and, how these relate to the world at large.  For History majors and minors, this is designated as a World history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652122,https://explorer.cuny.edu/receiving-course/065212/2
AAD 267,The Black Experience,"A workshop designed especially for teachers, students, and professionals working in the Black community. The course will cover a wide range of topics in literature, music, dance, drama, economics, history, and anthropology. ENG 151 and any FUSR course.",https://csi-undergraduate.catalog.cuny.edu/courses/0613451,https://explorer.cuny.edu/receiving-course/061345/1
AAD 269,Blacks in Urban America: 1900-Present,"An examination of various aspects of Black life in major American cities. Particular emphasis will be placed on the causes of the migration; ecological development of Black communities; urban violence; Blacks, participation in conventional and radical politics; Blacks in the labor force; and the impact of urbanization on the Black family. For History majors and minors, this is designated as a United States history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652132,https://explorer.cuny.edu/receiving-course/065213/2
AAD 270,Americas Slavery,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613471,https://explorer.cuny.edu/receiving-course/061347/1
AAD 275,"Place, Race, and Racism","This course explores how race is socially constructed and the role that place plays in the construction of racial and ethnic identities.  From the formation of racialized places such as ghettoes and Chinatowns to media coverage of school shootings in suburbs, we will examine the how, why, and where of racism and discrimination.  The focus will be on racial issues in the United States, coupled with case studies from other regions for comparative purposes.",https://csi-undergraduate.catalog.cuny.edu/courses/0647122,https://explorer.cuny.edu/receiving-course/064712/2
